AIR FORCE,Lockheed Martin Rotary and Mission Systems,"Owego, New York","$88,380,255",overhaul of B-2 digital receiver and legacy defense message system,"April 16, 2034","Owego, New York",FA8119-24-D-0008,"Air Force Sustainment Center, Tinker Air Force Base, Oklahoma"
AIR FORCE,HRL Laboratories LLC,"Malibu, California","$26,991,707","Creating Arrays for Strategic elecTro-optical, proLiferated and Exquisite (CASTLE) program","July 19, 2029","Malibu, California",FA9453-24-C-X011,"Air Force Research Laboratory, Kirtland Air Force Base, New Mexico"
AIR FORCE,Stellar Sciences LLC,"Huntsville, Alabama","$24,940,816",Modeling Applications for Next-Tier Initiatives and Capabilities of Realistic Engagements,"April 18, 2029","Kirtland Air Force Base, New Mexico",FA9451-24-C-X018,"Air Force Research Laboratory Directed Energy Directorate, Kirtland Air Force Base, New Mexico"
AIR FORCE,BlueHalo,"Huntsville, Alabama","$24,476,289","Accelerating the advancement of the directed energy modeling, simulation and analysis, assessment expertise, and highly technical capabilities to safeguard strategic U.S. space interests.","March 31, 2029","Kirtland Air Force Base, New Mexico",FA9451-24-C-X022,"Air Force Research Laboratory Directed Energy Directorate, Kirtland AFB, New Mexico"
DEFENSE LOGISTICS AGENCY,Honeywell International Inc.,"Clearwater, Florida","$70,000,000",Produce spare parts in support of the Radar Altimeter Common Core APN-209 receiver transmitters and indicator receiver transmitters spares and repairs,"Oct. 29, 2029",Not specified,SPRBL1-24-D-0007,"Defense Logistics Agency Land and Maritime, Aberdeen Proving Ground, Maryland"
DEFENSE LOGISTICS AGENCY,Fechheimer Brothers Co.,Illinois,"$16,355,700",men's uniform dress coats,"April 26, 2025",Illinois,SPE1C1-21-D-1466,"Defense Logistics Agency Troop Support, Philadelphia, Pennsylvania"
NAVY,Northrop Grumman Systems Corp.,"Melbourne, Florida","$26,219,305","Provide sustainment and technical support in support of E-2C/D aircraft common and unique requirements for the governments of France, Japan, Taiwan, and Egypt.",April 2025,"['Melbourne, Florida (59.9%)', 'Misawa, Japan (22.6%)', 'Dayton, Ohio (4.4%)', 'St. Augustine, Florida (4.3%)', 'Various locations within the continental U.S. (8.8%)']",N0001921F0889,"Naval Air Systems Command, Patuxent River, Maryland"
ARMY,Fordice Construction Co.,"Vicksburg, Mississippi","$21,900,000",casting articulated concrete mattress in the Mississippi River and tributaries,"Oct. 30, 2024","St. Francisville, Louisiana",W912P8-24-C-0011,"U.S. Army Corps of Engineers, New Orleans, Louisiana"
ARMY,Gensis 360 LLC,"Baton Rouge, Louisiana","$16,773,359",placement area improvements,"April 23, 2025","Galveston, Texas",W912HY-24-C-0002,"U.S. Army Corps of Engineers, Galveston, Texas"
DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,BAE Systems Information and Electronic Systems Integration,"Merrimack, New Hampshire","$12,008,850","Strategic Chaos Engine for Planning, Tactics, Experimentation and Resiliency program",November 2025,"['Arlington, Virginia (45%)', 'Durham, North Carolina (15%)', 'Merrimack, New Hampshire (15%)', 'Burlington, Massachusetts (10%)', 'Santa Barbara, California (15%)']",HR001124C0422,Defense Advanced Research Projects Agency
DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,"HRL Laboratories, LLC","Malibu, California","$9,331,775",to develop electrically small receivers and transmitters that exceed the current state of the art,January 2028,"Malibu, California",HR0011-24-C-0399,"Defense Advanced Research Projects Agency, Arlington, Virginia"
